month,day,trips,avg_fare,avg_distance
3,24,68659,15.58268748453874,3.630117391747603
3,25,69841,15.938668547143067,4.2637642645437825
3,26,73535,16.2292796627623,4.345160671788945
3,27,67392,15.829760505712965,2.9553249643874624
3,28,40404,16.439307494304675,3.3863572913572835
3,29,58127,16.13259001841727,4.058761332943358
3,30,66702,16.18839659981609,2.9260648856106313
3,31,67542,15.99799606172336,3.077929584554789
4,1,72434,16.026944390771714,6.117360493690796
4,2,72350,15.891457083637114,2.9022743607463846
4,3,61847,15.62879767815356,4.516411305317942
4,4,46311,16.956455917604362,6.468638768327185
4,5,62955,16.75591851323659,6.383047891350993
4,6,70472,16.486004086745716,3.006353445340008
4,7,74661,16.313189483147507,6.303950790908255
4,8,77611,16.481745242316393,8.771881692028174
4,9,78827,16.422768340815836,8.118358049906748
4,10,68688,21.57667685770171,4.165349114838091
4,11,47584,16.452695233695895,3.3183105665770305
4,12,70272,16.483891450379414,6.148973559881673
4,13,74244,16.419426350967626,7.943353267604116
4,14,77299,16.15308710334346,9.133830968059094
4,15,80429,16.191677504401127,4.036165064839782
4,16,82456,16.54302743283245,5.9784441399049655
4,17,74101,15.757303815080679,5.405442976478069
4,18,54143,16.710329313123765,6.068204015292781
4,19,67688,16.469167060645354,10.839805578536803
4,20,78724,16.481802626917563,9.734539403485602
4,21,79367,15.952469918246416,9.575065203422104
4,22,84344,16.007775419729604,7.25473323532205
4,23,84623,16.439604717413953,10.698641622253978
4,24,78858,15.928424636708215,6.908373532171761
4,25,49330,16.825629839859698,6.30519602675856
4,26,70215,16.685087659347538,11.366469842626314
4,27,76481,16.226990102134597,9.449297603326281
4,28,83551,16.307871719089704,16.803481705784552
4,29,82210,16.56772144509959,6.01908989174065
4,30,89141,16.55394622005529,7.041421904623
5,1,80717,15.880779389739727,11.662455244867871
5,2,60957,17.05689272767296,6.848201683153677
5,3,75261,16.57770850774411,18.96000797225649
5,4,80894,16.16699248401088,6.394263109748566
5,5,87030,16.09065115479504,7.48141962541647
5,6,88472,16.68976602769174,9.802380414142327
5,7,92383,16.731177597633106,9.557015684703913
5,8,80021,15.740159958030185,7.5840444383349
5,9,64461,17.010296148072456,6.338225283504678
5,10,74390,16.800612179074037,6.994486355692957
5,11,83498,16.460667321393572,14.028649069438805
5,12,86867,16.482324933540408,6.848713320363234
5,13,82527,16.83540962353813,10.95813188411067
5,14,92518,16.968698955902454,6.2470601396484655
5,15,88865,16.31623991449993,6.813099983120518
5,16,66387,17.351405094386745,14.954835133384595
5,17,74097,16.56127994387542,3.124988326113093
5,18,84772,16.35506818291202,9.670495210682772
5,19,90733,16.63517793969227,3.7864492522015203
5,20,92693,17.071081419333087,8.395402781224035
5,21,94927,16.95754021513727,8.179532377511181
5,22,93359,16.158259300145122,5.721867736372441
5,23,71494,17.14602526087906,5.580431644613526
5,24,81403,16.800804392979657,11.98987924277974
5,25,88685,16.611424028889164,3.6888345266955658
5,26,93364,16.816618289728908,4.837547662910751
5,27,92466,17.233270066859436,9.262275214673467
5,28,87929,17.191045047731997,11.364099557597592
5,29,64946,16.061188371892282,8.171977181042694
5,30,54240,16.8532948008938,6.4503255899704985
5,31,56720,18.27060349084475,11.569952926657272
6,1,86021,17.212523918600894,9.84439148579996
6,2,92571,16.871981830187202,3.848129435784401
6,3,96504,16.714772444690702,5.863568245875831
6,4,95589,17.0871817887242,4.836496354182992
6,5,97983,16.340185032122623,9.236939571150105
6,6,77634,17.411526264286,5.716930597418621
6,7,88869,16.84986789546518,5.149648021244704
6,8,94675,16.62194454715992,5.6894845524161735
6,9,99484,16.569289534021223,4.06092869205098
6,10,103981,17.042401496454175,11.639784383685532
6,11,98321,17.156429959037997,8.136621677973167
6,12,93963,16.63715217694573,5.838211742920097
6,13,73784,17.822180825131074,6.95374308793237
6,14,86939,17.20934620828432,4.716899780305719
6,15,98038,17.01531232789857,10.562382545543548
6,16,102175,16.886113237119467,7.6091933447515965
6,17,102964,17.759329862891605,6.575937415018829
6,18,98994,17.877080227110653,8.745894801705168
6,19,96406,16.52668786177632,9.941841482895311
6,20,77945,17.632565783585967,7.219435755981832
6,21,90870,17.08426840543873,5.059584571365696
6,22,99019,16.943374200937097,8.692637069653264
6,23,102895,17.15309898442879,6.700810340638556
6,24,104639,17.505721002712743,10.386538002083341
6,25,103294,17.60622340119307,4.84096675508744
6,26,98690,17.02320883577452,6.981277535717944
6,27,77379,18.273595290733414,5.026277930704742
6,28,91543,17.16132888371898,5.183594376413247
6,29,101112,16.614929681963297,5.566319131260369
6,30,101923,16.73279887761063,5.889713411104462
7,1,93848,17.578686066856953,11.080589144147995
7,2,87546,17.392766774062597,16.477945194526278
7,3,71122,16.772520457823536,9.371255588987909
